isbn,title,series,publisher,subject,subject_detail,grade,grade_min,grade_max,semester,level,price,image_url
9788900491104,"HIGH TOP 하이탑 초등 과학 5-2 (2026년) (2022 개정 교육과정, 초등 과학 개념서)",하이탑,동아출판,과학,과학,5,5,5,2,상위 2,16000,http://biblio.booxen.com/IMG_ISBN13/2026/04/9788900491104_L.jpg
9788900490923,동아 백점 초등 과학 6-2 (2026년) (2022 개정 교육과정),동아 백점,동아출판,과학,과학,6,6,6,2,중위 5,16000,http://biblio.booxen.com/IMG_ISBN13/2026/04/9788900490923_L.jpg
9788900490916,동아 백점 초등 과학 5-2 (2026년) (2022 개정 교육과정),동아 백점,동아출판,과학,과학,5,5,5,2,중위 5,16000,http://biblio.booxen.com/IMG_ISBN13/2026/04/9788900490916_L.jpg
9788900476774,빠작 중학 국어 문학 독해 2 (필수 작품을 통해 문학 독해력을 기르는 독해 기본서),빠작 중학 국어 문학,동아출판,국어,독해/문해력,7,7,9,3,중위 1,14000,http://biblio.booxen.com/IMG_ISBN13/2023/10/9788900476774_L.jpg
9788900476699,빠작 중학 국어 비문학 독해 2 (독해력과 어휘력을 함께 키우는 독해 기본서),빠작 중학 국어 비문학,동아출판,국어,독해/문해력,7,7,9,3,중위 1,14000,http://biblio.booxen.com/IMG_ISBN13/2023/10/9788900476699_L.jpg
9788900476897,빠작 중학 국어 어휘 2 (내신과 수능의 기초를 마련하는 중학 어휘 기본서),빠작 중학 국어 어휘,동아출판,국어,국어,7,7,9,3,중위 1,14000,http://biblio.booxen.com/IMG_ISBN13/2023/10/9788900476897_L.jpg
9788900491296,"수매씽 유형 중학 수학 3-1 (2027년) (2022 개정 교육과정, 내신을 위한 강력한 한 권!)",수매씽 유형,동아출판,수학,수학,9,9,9,1,중위 4,20000,http://biblio.booxen.com/IMG_ISBN13/2026/05/9788900491296_L.jpg
9788900491302,"수매씽 유형 중학 수학 3-2 (2027년) (2022 개정 교육과정, 내신을 위한 강력한 한 권!)",수매씽 유형,동아출판,수학,수학,9,9,9,2,중위 4,19000,http://biblio.booxen.com/IMG_ISBN13/2026/05/9788900491302_L.jpg
9788900491258,"절대등급 중학 수학 3-1 (2027년) (2022 개정 교욱과정 반영, 상위권 기출의 절대 기준)",절대등급 중학 수학,동아출판,수학,수학,9,9,9,1,상위 2,15000,http://biblio.booxen.com/IMG_ISBN13/2026/05/9788900491258_L.jpg
9788900491265,"절대등급 중학 수학 3-2 (2027년) (2022 개정 교욱과정 반영, 상위권 기출의 절대 기준)",절대등급 중학 수학,동아출판,수학,수학,9,9,9,2,상위 2,15000,http://biblio.booxen.com/IMG_ISBN13/2026/05/9788900491265_L.jpg
9791172101114,한자로 키우는 초등 문해력 2 하루 한 장의 기적 (하루 한 장의 기적),한자로 키우는 초등 문해력,동양북스,국어,한자,2,2,2,3,기본 3,15000,http://biblio.booxen.com/IMG_ISBN13/2025/06/9791172101114_L.jpg
9791172101107,한자로 키우는 초등 문해력 1 하루 한 장의 기적 (하루 한 장의 기적),한자로 키우는 초등 문해력,동양북스,국어,한자,1,1,1,3,기본 3,15000,http://biblio.booxen.com/IMG_ISBN13/2025/06/9791172101107_L.jpg
9788926155240,최상위 사고력 초등 4B (상위권의 기준),최상위 사고력,디딤돌,수학,사고력,4,4,4,2,최상위 3,14000,https://shopping-phinf.pstatic.net/main_3251102/32511021850.20221228072939.jpg
9788926163832,디딤돌수학 개념연산 중 1-1 A(2025) (22개정 새 교육과정(2025년 중1부터 적용)),디딤돌 개념연산,디딤돌,수학,연산,7,7,7,1,기본 2,12000,https://shopping-phinf.pstatic.net/main_4333371/43333710621.20231020091440.jpg
